NumeroRegistro;Sección;Denominación;Domicilio social;Código;Fecha;
6581;PRIMERA;DE TECNICOS DEL ESPECTACULO DE CANTABRIA (A.T.E.C.); CALLE FERNANDO DE LOS RIOS Nº 2 BLOQUE D 1º IZQ., CP: 39005, SANTANDER, CANTABRIA;836;06/04/2018;
6582;PRIMERA;VIA AGRIPA ( ASVA ); PLAZA DEL AYUNTAMIENTO Nº S/N, CP: 39724, VALDECILLA, CANTABRIA;124;11/04/2018;
6583;PRIMERA;LAREDO BAILA; AVENIDA DERECHOS HUMANOS Nº 17 BLOQUE 1 3 IZQ, CP: 39770, LAREDO, CANTABRIA;129;17/04/2018;
6584;PRIMERA;WOMAN`S  GRACE; CALLE SIERRAPANDO Nº 382 BLOQUE A BAJO 1, CP: 39300, TORRELAVEGA, CANTABRIA;212;17/04/2018;
6585;PRIMERA;COVALRUYO; CALLE EL CRUCE Nº 29, CP: 39649, SANTIBAÑEZ, CANTABRIA;142;17/04/2018;
6586;PRIMERA;IMPULSO TORRELAVEGA; CALLE SERAFIN ESCALANTE Nº 4, CP: 39300, TORRELAVEGA, CANTABRIA;813;23/04/2018;
6587;PRIMERA;CULTURAL CALOCA; CALLE LOS CIRUELOS Nº 30 3 B, CP: 39011, SANTANDER, CANTABRIA;129;23/04/2018;
6588;PRIMERA;''CICLOTURISTA ALFOZ DE LLOREDO; CALLE JOSE GUTIERREZ  Nº 168, CP: 39526, NOVALES, CANTABRIA;911;26/04/2018;
6589;PRIMERA;COFRADIA DE LA NECORA DE NOJA;EDIFICIO DE TURISMO PLAZA DE LA VILLA Nº S/N, CP: 39180, NOJA, CANTABRIA;128;26/04/2018;
6590;PRIMERA;CULTURAL NATURALEZA CAMARGO; CALLE JUAN PALENCIA Nº 7 BLOQUE A  Nº 36, CP: 39600, MURIEDAS, CANTABRIA;129;03/05/2018;
6591;PRIMERA;LUDI+CON; CALLE EULOGIO FERNANDEZ BARROS Nº 7 1º B, CP: 39600, MALIAÑO, CANTABRIA;134;03/05/2018;
6592;PRIMERA;FORO MONTESCLAROS; BARRIO MONTESCLAROS Nº 1 BAJO, CP: 39471, VALDEPRADO DEL RIO, CANTABRIA;;11/05/2018;
