NumeroRegistro;Sección;Denominación;Domicilio social;Código;Fecha;
1;PRIMERA;CENTRO DE INICIATIVAS Y TURISMO DE COMILLAS;LOPE DE VEGA Nº 14, CP: 39003, SANTANDER, CANTABRIA;;18/11/1985;
3;PRIMERA;ORFEON CANTABRO;C/ALTA Nº 1 - 2º IZQUIERDA, CP: 39008, SANTANDER, CANTABRIA;;06/09/1965;
5;PRIMERA;CANTABRA EN  FAVOR DE LAS PERSONAS CON DISCAPACIDAD INTELECTUAL (AMPROS);C/ NICOLAS SALMERON, Nº 1, CP: 39009, SANTANDER, CANTABRIA;;11/11/1965;
6;PRIMERA;CIRCULO CATOLICO DE MAYORES Y OBREROS SAN JOSE;C/ RUBIO Nº 4, PPAL., CP: 39007, SANTANDER, CANTABRIA;;22/10/2004;
8;PRIMERA;PEÑA TAURINA FELIX RODRIGUEZ;C/ BURGOS, Nº  9 - INTERIOR, CP: 39008, SANTANDER, CANTABRIA;;07/02/1957;
11;PRIMERA;DE COMERCIANTES Y EMPRESARIOS DE SELAYA;C/ TRES DE NOVIEMBRE Nº 32, CP: 39010, SANTANDER, CANTABRIA;;22/03/1988;
12;PRIMERA;SOCIEDAD CORAL DE TORRELAVEGA;C/ MARTIRES Nº 11, PRINCIPAL IZQ., CP: 39300, TORRELAVEGA, CANTABRIA;;10/12/1966;
13;PRIMERA;PEÑA PRADO DE SAN ROQUE;C/ GENERAL DAVILA Nº 108-B, CP: 39006, SANTANDER, CANTABRIA;;14/12/1966;
14;PRIMERA;AGORA FILOSOFICA;C/ ALTA Nº 82 (CENTRO ASOCIADO A LA UNED), CP: 39008, SANTANDER, CANTABRIA;;17/01/2008;
16;PRIMERA;SOCIEDAD CULTURAL AMIGOS DEL ARTE;C/ TRES NOVIEMBRE Nº 33, BAJO, CP: 39003, SANTANDER, CANTABRIA;;28/10/1966;
17;PRIMERA;LA CARIDAD DE SANTANDER;C/ ARGENTINA Nº 2, CP: 39008, SANTANDER, CANTABRIA;;02/12/2005;
18;PRIMERA;SOCIOCULTURAL LA VEGA;POLIGONO LA VEGA Nº 1, CP: 39200, REINOSA, CANTABRIA;;20/07/1992;
19;PRIMERA;PEÑA DEPORTIVA ALEGRIA;, CP: 39003, SANTANDER, CANTABRIA;;;
20;PRIMERA;PEÑA SORRAVIDES;C/ FELIZ APELLANIZ Nº 2, CP: 39300, TORRELAVEGA, CANTABRIA;;;
21;PRIMERA;CULTURAL Y TAURINA PEÑA LA REPANOCHA;C/ RUBIO Nº 12 (BAR LA REPANOCHA)., CP: 39001, SANTANDER, CANTABRIA;;;
22;PRIMERA;CIRCULO CATOLICO DE OBREROS DE SAN JOSE DE CASTRO URDIALES;AVDA. DE LA CONSTITUCIÓN Nº 16, CP: 39700, CASTRO- URDIALES, CANTABRIA;;09/02/1966;
23;PRIMERA;SOCIEDAD CASINO DE BUELNA; CALLE JOSE MARIA QUIJANO Nº S/N, CP: 39400, CORRALES (LOS), CANTABRIA;128;15/11/1966;
24;PRIMERA;PEÑA TAURINA TORRELAVEGA;C/ RUIZ TAGLE Nº 2, CP: 39300, TORRELAVEGA, CANTABRIA;;17/11/1966;
29;PRIMERA;SOCIEDAD CULTURAL DEPORTIVA PEÑA GEDIO; PLAZA GENERAL DAVILA Nº S/N, CP: 39400, SOMAHOZ, CANTABRIA;128;24/11/1966;
30;PRIMERA;REAL CLUB DE REGATAS DE SANTANDER;PLAZA DE POMBO Nº 3, CP: 39003, SANTANDER, CANTABRIA;;25/11/1966;
35;PRIMERA;GRUPO FILATELICO Y NUMISMATICO MONTAÑES;C/ BAILEN Nº 4, 1º IZQ., CP: 39004, SANTANDER, CANTABRIA;;10/01/1967;
41;PRIMERA;CENTRO GALLEGO DE SANTANDER. CASA DE GALICIA EN CANTABRIA;C/ HERNAN CORTES Nº 47, CP: 39003, SANTANDER, CANTABRIA;;30/05/1966;
48;PRIMERA;PEÑA VICENTE MIERA;PLAZA DEL PROGRESO S/N, CP: 39009, SANTANDER, CANTABRIA;;17/02/1967;
59;PRIMERA;PEÑA LA GANDARA;C/ UNIVERSIDAD Nº 44, CP: 39005, SANTANDER, CANTABRIA;;16/12/2004;
63;PRIMERA;ATENEO DE SANTANDER;C/ GOMEZ OREÑA Nº 5, 1º, CP: 39003, SANTANDER, CANTABRIA;;28/03/1967;
65;PRIMERA;CUBANA DE SANTANDER;C/ SEVILLA Nº 4, CP: 39001, SANTANDER, CANTABRIA;;12/01/1967;
75;PRIMERA;DE SORDOS DE SANTANDER Y CANTABRIA  (ASSC);C/ ALTA Nº 46, ENTLO. IZQ., CP: 39008, SANTANDER, CANTABRIA;;19/04/1967;
85;PRIMERA;CIRCULO DE RECREO DE TORRELAVEGA;C/ BULEVAR LUCIANO DEMETRIO HERRERO Nº 7, CP: 39300, TORRELAVEGA, CANTABRIA;;14/10/2005;
89;PRIMERA;COFRADIA GASTRONOMICA NACIMIENTO DEL RIO EBRO; CALLE NACIMIENTO DEL RIO EBRO Nº S/N, CP: 39212, FONTIBRE, CANTABRIA;128;01/10/2007;
91;PRIMERA;AGRUPACION DE TIEMPO LIBRE EL MATADERO;C/ EL MATADERO S/N, CP: 39526, NOVALES, CANTABRIA;;17/09/2007;
92;PRIMERA;PEÑA TAURINA SERBULO AZUAJE;C/ RENTERIA REYES Nº 12, CP: 39740, SANTOÑA, CANTABRIA;121;02/03/1968;
99;PRIMERA;PEÑA BOLISTICA LA CAJIGONA;C/ ESCUELA DE NIÑOS S/N, CP: 39590, QUIJAS, CANTABRIA;;08/04/1968;
103;PRIMERA;PADRE DAMIAN DEL COLEGIO NUESTRA SEÑORA DE LA PAZ;C/ CANALEJAS Nº 8 (COLEGIO CALASANZ), CP: 39004, SANTANDER, CANTABRIA;;22/06/1968;
106;PRIMERA;PEÑA TAURINA LA ALBERICIA;C/ LA ALBERICIA, Nº 24, CP: 39012, SANTANDER, CANTABRIA;;16/08/2011;
111;PRIMERA;PEÑA CULTURAL Y DEPORTIVA SANTIAGO EL MAYOR;Bº PRONILLO Nº 10, BAJO, CP: 39011, SANTANDER, CANTABRIA;;03/04/1969;
125;PRIMERA;AMIGOS DEL FESTIVAL INTERNACIONAL DE SANTANDER;C/ GENERAL DAVILA Nº 212º,10º, CP: 39006, SANTANDER, CANTABRIA;;09/05/1970;
127;PRIMERA;HERMANDAD DE DONANTES DE SANGRE DE CANTABRIA;HOSPITAL UNIVERSITARIO MARQUES DE VALDECILLA AVENIDA VALDECILLA Nº 25, CP: 39008, SANTANDER, CANTABRIA;;22/07/1970;
135;PRIMERA;DE LA SALLE DE LOS CORRALES DE BUELNA; CALLE LA SALLE Nº 2, CP: 39400, CORRALES (LOS), CANTABRIA;;17/05/1971;
139;PRIMERA;DE PADRES DE ALUMNOS ENRIQUETA AYMER DEL COLEGIO SAGRADOS CORAZONES;C/ SIERRAPANDO, Nº 508, CP: 39300, SIERRAPANDO-TORRELAVEGA, CANTABRIA;;30/07/1971;
157;PRIMERA;PEÑA MADRIDISTA  BAR MONTREAL; CALLE SANTANDER Nº 4 BAJO, CP: 39740, SANTOÑA, CANTABRIA;129;07/10/1972;
166;PRIMERA;PROTECTORA DE ANIMALES ASPROAN;Bº LA TEJONA S/N, CP: 39012, SAN ROMAN DE LA LLANILLA, CANTABRIA;711;14/07/2006;
173;PRIMERA;DE PADRES DE ALUMNOS/AS DEL COLEGIO SANTA MARIA MICAELA;C/ JOAQUIN BUSTAMANTE Nº 9, CP: 39011, SANTANDER, CANTABRIA;;06/07/1973;
175;PRIMERA;CENTRO ANDALUZ DE SANTANDER; CALLE SANTA LUCIA Nº 46, CP: 39003, SANTANDER, CANTABRIA;;07/09/1993;
177;PRIMERA;DE LA SANTA CRUZ DE LIEBANA;PLAZA DE SAN RAIMUNDO S/N, CP: 39570, POTES, CANTABRIA;;29/09/1973;
183;PRIMERA;VIUDAS DE SANTANDER;C/ CRUCES S/N, CP: 39005, SANTANDER, CANTABRIA;;18/12/1973;
185;PRIMERA;SOCIEDAD MONTAÑESA DE AMIGOS DEL FERROCARRIL;C/ JOSE MARIA PEREDA Nº 20, 3º, CP: 39300, TORRELAVEGA, CANTABRIA;;09/01/1974;
190;PRIMERA;AMIGOS DE LAREDO;AVDA. EMILIO CAPRILE POLONI Nº 1 (REAL CLUB NAUTICO DE LAREDO), CP: 39770, LAREDO, CANTABRIA;;28/02/1974;
193;PRIMERA;URBANIZACION LOS PICACHOS;Bº SOMACUEVA Nº 8, CP: 39120, LIENCRES, CANTABRIA;;25/02/1976;
200;PRIMERA;DE VECINOS PRONILLO;C/ PRONILLO, BLOQUE  Nº 5 BAJO, CP: 39011, SANTANDER, CANTABRIA;925;28/02/1988;
201;PRIMERA;DE VECINOS BARRIO DE CUETO;C/ CAMUS Nº 6  (CUETO), CP: 39012, SANTANDER, CANTABRIA;925;02/10/1974;
203;PRIMERA;APA COLEGIO SAGRADO CORAZON DE CABEZON DE LA SAL;C/ PERNALEJO, 8, CP: 39506, CABEZON DE LA SAL, CANTABRIA;;17/10/1974;
205;PRIMERA;CARAVANING CLUB DE SANTANDER Y CANTABRIA;C/JOAQUIN COSTA, Nº 47, CP: 39005, SANTANDER, CANTABRIA;;21/04/1976;
206;PRIMERA;SOCIEDAD FILATELICA, NUMISMATICA Y VITOLFILICA DE TORRELAVEGA;CASA DE CULTURA C/ MARQUES DE SANTILLANA 6 1º, CP: 39300, TORRELAVEGA, CANTABRIA;;07/12/1974;
207;PRIMERA;DE VECINOS JACOBO ROLDAN LOSADA QUINTA PORRUA;C/ NAVARRA Nº 5, BAJO, CP: 39007, SANTANDER, CANTABRIA;;13/02/1975;
212;PRIMERA;DE VECINOS BARRIO SAN FRANCISCO;GRUPO SAN FRANCISCO Nº 43, BAJO, CP: 39007, SANTANDER, CANTABRIA;;20/03/1975;
214;PRIMERA;SOCIEDAD AMIGOS DE LA MARUCA;Bº CORBANERA Nº 100, CP: 39012, SANTANDER, CANTABRIA;;22/04/1975;
223;PRIMERA;DE VECINOS FERNANDO ATECA;C/ FERNANDO ATECA Nº 14, BAJO, CP: 39012, SANTANDER, CANTABRIA;925;21/08/1975;
225;PRIMERA;DE VECINOS LA ENCINA;C/ HONDURAS S/N, SANTANDER, CANTABRIA;;02/12/1975;
226;PRIMERA;DE VECINOS EL SALVADOR Y SANTO DOMINGO;COLONIA PLAZA  EL SALVADOR, PORTAL 121, 1º DCHA., CP: 39300, TORRELAVEGA, CANTABRIA;;13/01/1976;
234;PRIMERA;PARA LA DEFENSA DE LOS INTERESES DE CANTABRIA (A.D.I.C.);C/ SANTA LUCIA Nº 45, ENTRESUELO IZQ., CP: 39003, SANTANDER, CANTABRIA;846;14/05/1976;
236;PRIMERA;PROVIDEN (PRO-VIVIENDAS DEL NECESITADO);PSJE.  PUNTIDA Nº 2, 7º DCHA., SANTANDER, CANTABRIA;;10/06/1976;
239;PRIMERA;DE VECINOS NUESTRA SEÑORA DE BELEN;AVDA. DEL DEPORTE Nº 9 - BLOQUE 39, BAJO, CP: 39011, SANTANDER, CANTABRIA;;01/10/1976;
241;PRIMERA;DE VECINOS PRADO SAN ROQUE;C/ JUAN DEL CASTILLO, Nº 30 - BAJO IZQ., CP: 39006, SANTANDER, CANTABRIA;;06/10/1976;
243;PRIMERA;DE VECINOS DE NESTARES; CALLE GANDARA Nº S/N, CP: 39212, NESTARES, CANTABRIA;844;07/10/1976;
244;PRIMERA;DE VECINOS PICO YEN DE SANTIAGO DE MEDIO CUDEYO;LA CASA DEL PUEBLO. Bº LA IGLESIA S/N , CP: 39619, SANTIAGO DE CUDEYO, CANTABRIA;;14/10/1976;
258;PRIMERA;DE VECINOS TETUAN, BARRIO CAMINO Y CANALEJAS;C/ TETUAN Nº 61 - POLIDEPORTIVO MARCELINO BOTIN, CP: 39004, SANTANDER, CANTABRIA;;15/03/1977;
260;PRIMERA;DE VECINOS SAN LUIS - SAN JUAN;C/ MADRES SOLEDAD. GRUPO SAN LUIS, BLOQUE M, CP: 39012, SANTANDER, CANTABRIA;;21/03/1977;
265;PRIMERA;VECINOS SAN JOAQUIN; CALLE CARLOS RUIZ GARCÍA, ESTE Nº 24, CP: 39011, SANTANDER, CANTABRIA;;19/05/1977;
266;PRIMERA;DE VECINOS BESAYA;C/ JULIO RUIZ DE SALAZAR, Nº 47 - BAJO, CP: 39300, TORRELAVEGA, CANTABRIA;;20/05/1977;
269;PRIMERA;VECINAL RIOINDIANA;C/ GENERAL CEBALLOS, S/N, CP: 39300, TORRELAVEGA, CANTABRIA;;28/06/1977;
272;PRIMERA;DE VECINOS SAN ISIDRO - EL PILAR;C/ RAMON Y CAJAL, S/N, CP: 39611, GUARNIZO, CANTABRIA;;13/02/1980;
283;PRIMERA;DE VECINOS VIRGEN DE LAS NIEVES DE TANOS;PASEO FERNANDEZ VALLEJO, Nº 49, CP: 39316, TANOS, CANTABRIA;;07/09/1977;
288;PRIMERA;DE VECINOS PINTORES MONTAÑESES;C/ JOSE MARIA COSSIO, Nº 26  BIS, CP: 39011, SANTANDER, CANTABRIA;;31/10/1997;
291;PRIMERA;SOCIEDAD CULTURAL RECREATIVA PEÑA LOS SILENCIOSOS;LA NOGALERA (BAJOS DE LA PLAZA DE TOROS), CP: 39840, AMPUERO, CANTABRIA;;17/11/1977;
292;PRIMERA;SOCIEDAD CULTURAL RECREATIVA LA PINTA;PLAZA DE LA NOGARELA, S/N. ? BAJOS PLAZA DE TOROS, CP: 39840, AMPUERO, CANTABRIA;;17/11/1977;
299;PRIMERA;DE VECINOS SANTA MARIA DE BARREDA;C/ DEL AGUA, Nº 349, CP: 39300, TORRELAVEGA, CANTABRIA;;19/12/1977;
304;PRIMERA;DE VECINOS VIRGEN DEL MAR;C/ VICTORIANO FERNANDEZ, S/N (SAN ROMAN DE LA LLANILLA), CP: 39012, SANTANDER, CANTABRIA;;27/12/1977;
315;PRIMERA;DE VECINOS OJO DE LA FUENTE;C/ LA PARDUCA, S/N, CP: 39512, UCIEDA, CANTABRIA;;19/01/1978;
316;PRIMERA;REAL CUERPO DE BOMBEROS VOLUNTARIOS; PLAZA DE NUMANCIA 6-8 Y SAN LUIS 42, CP: 39007, SANTANDER, CANTABRIA;711;20/01/1978;
320;PRIMERA;DE VECINOS SANTA BARBARA;Bº SANTA BARBARA, S/Nª, CP: 39530, PUENTE SAN MIGUEL, CANTABRIA;;30/01/1978;
321;PRIMERA;DE VECINOS LA AMISTAD;C/ JUAN JOSE PEREZ DEL MOLINO, Nº 25 - BAJO INTERIOR, CP: 39006, SANTANDER, CANTABRIA;;31/01/1978;
322;PRIMERA;CIRCULO DE RECREO DE LIENDO; BARRIO DE HAZAS Y SITIO DE LLUPE, CP: 39776, HAZAS, CANTABRIA;129;05/10/2018;
324;PRIMERA;DE VECINOS SAN JUSTO DE SAN SALVADOR;ESCUELAS NACIONALES DE SAN SALVADOR, S/N, CP: 39619, SAN SALVADOR, CANTABRIA;;14/02/1978;
326;PRIMERA;SOCIEDAD CULTURAL DEPORTIVA EL JOYACON;Bº SAN ROQUE Nº 32, CP: 39420, BARCENA DE PIE DE CONCHA, CANTABRIA;;16/02/1978;
327;PRIMERA;DE VECINOS PEDRO VELARDE;C/ EMETERIO VELARDE Nº 2, CP: 39008, SANTANDER, CANTABRIA;352;08/09/2016;
336;PRIMERA;CAMERATA CORAL DE LA UNIVERSIDAD DE CANTABRIA;EDIFICIO INTERFACULTATIVO. AVDA. DE LOS CASTROS, S/N, CP: 39005, SANTANDER, CANTABRIA;;20/03/1978;
340;PRIMERA;PEÑA DEPORTIVA RINCON 9;C/ ARRIBA 79, CP: 39012, SANTANDER, CANTABRIA;;03/04/1978;
342;PRIMERA;VECINOS DEL BARRIO DE LA BARCA;CENTRO SOCIAL BARRIO LA BARCA. Bº LA BARCA, S/N, CP: 39314, VIVEDA, CANTABRIA;;04/04/1978;
343;PRIMERA;DE VECINOS EL CASTILLO;C/ BOLADO, Nº 1, CP: 39012, MONTE-SANTANDER, CANTABRIA;;11/09/2012;
351;PRIMERA;DE VECINOS SOTILEZA;C/ MARQUES DE LA ENSENADA S/N, CP: 39009, SANTANDER, CANTABRIA;844;26/04/1978;
361;PRIMERA;DE VECINOS NUESTRA SEÑORA DE LORETO;Bº CAMARREAL Nº 44. PEÑACASTILLO, CP: 39011, SANTANDER, CANTABRIA;;;
363;PRIMERA;CANTABRA PARA LA DEFENSA DEL PATRIMONIO SUBTERRANEO;C/ JOSE GUTIERREZ SOLANA, Nº 9 - 6º B, CP: 39600, MALIAÑO, CANTABRIA;;27/11/1978;
366;PRIMERA;DE VECINOS SAN GIL; AVENIDA PABLO GARNICA Nº 65 1º IZDA., CP: 39300, TORRELAVEGA, CANTABRIA;844;12/07/1978;
371;PRIMERA;GRUPO DEPORTIVO DE MAR; C/ CASTELAR S/N DÁRSENA DE MOLNEDO MARINA CIVIL S/N, CP: 39004, SANTANDER, CANTABRIA;914;09/11/1978;
372;PRIMERA;DE VECINOS 1º  DE MAYO;C/ AGUSTIN DE COLOSIA, Nº 44, CP: 39011, PEÑACASTILLO, CANTABRIA;843;07/11/1978;
383;PRIMERA;CANTABRA DE AMIGOS DEL FERROCARRIL;RECINTO ESTACION RENFE EDF. ANTIGUO- TALLER MATERIAL MOVIL. PLAZA DE LAS ESTACIONES S/N, CP: 39002, SANTANDER, CANTABRIA;;04/12/1978;
387;PRIMERA;SOCIEDAD CULTURAL RECREATIVA LOS RONCEROS;BAJOS DE LA PLAZA DE TOROS  AVENIDA CARRERO BLANCO Nº S/N, CP: 39740, SANTOÑA, CANTABRIA;925;15/12/1978;
392;PRIMERA;SOCIEDAD DE AVES CANORAS DE SANTANDER;C/ MIRALMAR, 7 - BLOQUE 5 - BAJO, CP: 39003, SANTANDER, CANTABRIA;;17/01/1989;
402;PRIMERA;DE VECINOS COVAHONDA;C/ LA CAMPIZA, S/N (ANTIGUAS ESCUELAS), CP: 39590, VALLES, CANTABRIA;;07/02/1979;
403;PRIMERA;PEÑA TIO SIMON;C/ SAN FRANCISCO, Nº 7 - BAJO, CP: 39770, LAREDO, CANTABRIA;;09/02/1979;
406;PRIMERA;CÍRCULO DE ILUSIONISTAS DE CANTABRIA;ATILANO  RODRÍGUEZ Nº 9-ENTRESUELO, CP: 39009, SANTANDER, CANTABRIA;;06/03/1979;
426;PRIMERA;SOCIEDAD CULTURAL Y RECREATIVA DE CERDIGO;C/ LA PLAZA S/N, CP: 39789, CERDIGO, CANTABRIA;;20/04/1979;
428;PRIMERA;LOS VINIKIS;C/ VIRGEN DEL PUERTO Nº 21, CP: 39740, SANTOÑA, CANTABRIA;922;01/08/2015;
441;PRIMERA;CENTRO CULTURAL ALBORADA;Bº LA IGLESIA, S/N, CP: 39608, IGOLLO DE CAMARGO, CANTABRIA;121;06/06/1979;
445;PRIMERA;REAL ASOCIACION MACHICHACO;REAL CLUB DE REGATAS DE SANTANDER PLAZA DE POMBO, CP: 39004, SANTANDER, CANTABRIA;127;08/06/1979;
452;PRIMERA;SOCIEDAD CULTURAL DEPORTIVA LA RUEDA;LAS ESCUELAS, Bº EL COHIÑO, CP: 39408, BARROS, CANTABRIA;;16/07/1979;
454;PRIMERA;PEÑA LOS TEMPLARIOS;Bº LA FAROLA DE UDALLA, S/N, CP: 39850, AMPUERO, CANTABRIA;;26/07/1979;
459;PRIMERA;DE VECINOS ENTREMONTAÑAS;CENTRO CULTURAL LA PELA. PLAZA DE LA PELA, S/N, CP: 39400, LOS CORRALES DE BUELNA, CANTABRIA;134;22/08/1979;
462;PRIMERA;CULTURAL RECREATIVA EL CHUPINAZO;PLAZA DE TOROS DE LA NOGALERA, S/N - BAJO, CP: 39840, AMPUERO, CANTABRIA;121;28/08/1973;
463;PRIMERA;"PEÑA SOCIEDAD CULTURAL, RECREATIVA Y DE MEDIO AMBIENTE ""LA ZARCETA""";C/ JUAN JOSE RUANO Nº 10 - BAJO, CP: 39740, SANTOÑA, CANTABRIA;;28/08/1979;
468;PRIMERA;SOCIEDAD CASINO LICEO DE SANTOÑA;C/ ALFONSO XII, Nº 11, CP: 39740, SANTOÑA, CANTABRIA;;20/09/1979;
481;PRIMERA;COORDINADORA DE MINUSVALIDOS FISICOS DE CANTABRIA;C/ MADRID, Nº 13 - BAJO, SANTANDER, CANTABRIA;;19/11/1979;
486;PRIMERA;DE VECINOS MANUEL LLANO;TRAVESIA DE LOS CAÑOS, Nº 5 - BAJO, CP: 39001, SANTANDER, CANTABRIA;;12/12/1979;
505;PRIMERA;JUBILADOS SANTA ANA DE CASTRO URDIALES;LOS JARDINES Nº 3, CP: 39700, CASTRO URDIALES, CANTABRIA;;05/03/1980;
511;PRIMERA;DE PADRES DE AUTISTAS DE CANTABRIA;C/ MACIAS PICAVEA, Nº 8 - BAJO, CP: 39003, SANTANDER, CANTABRIA;;02/04/1980;
512;PRIMERA;PEÑA TAURINA SAN MARTIN;BAJOS PLAZA DE TOROS. Bº URDIALES, CP: 39700, CASTRO URDIALES, CANTABRIA;;14/04/1980;
514;PRIMERA;CLUB TIMBRADO ESPAÑOL DE CANTABRIA EN CAMARGO; CASA CULTURA C/ PARQUE DE LA CROSS, S/N APARTADO DE CORREOS 69, CP: 39600, MALIAÑO, CANTABRIA;414;28/04/1980;
519;PRIMERA;DE INGENIEROS INDUSTRIALES DE CANTABRIA JULIO SOLER;C/ HERNAN CORTES, Nº 49 ENTRESUELO, CP: 39003, SANTANDER, CANTABRIA;846;22/04/1980;
522;PRIMERA;CULTURAL HIJOS DE CASTRILLO DE VALDELOMAR;C/ CASTRILLO DE VALDELOMAR, S/N, CP: 39250, CASTRILLO DE VALDELOMAR, CANTABRIA;129;07/05/1980;
537;PRIMERA;REAL ACADEMIA DE MEDICINA DE CANTABRIA;COLEGIO OFICIAL DE MEDICOS DE CANTABRIA -C/ ATAULFO ARGENTA Nº 33, CP: 39004, SANTANDER, CANTABRIA;;08/07/1980;
544;PRIMERA;AMIGOS DEL MUSEO MARITIMO DEL CANTABRICO;C/ SAN MARTIN DE BAJAMAR, S/N, CP: 39004, SANTANDER, CANTABRIA;;28/08/1990;
548;PRIMERA;AMIGOS DE LA CORAL SALVE DE LAREDO; CALLE EGUILIOR Nº S/N, CP: 39770, LAREDO, CANTABRIA;;15/10/1980;
558;PRIMERA;CENTRO CULTURAL MATILDE DE LA TORRE;C/ SAN CELEDONIO, Nº 26 - 1º, CP: 39001, SANTANDER, CANTABRIA;;12/12/1980;
559;PRIMERA;VITAL ALSAR DE SANTANDER;C/ CONSUELO BERGES; Nº 1 - 2º D, CP: 39012, SANTANDER, CANTABRIA;;11/12/1980
582;PRIMERA;AMAYA (ASOCIACION DE MATRIMONIOS AUTONOMOS Y AMIGOS);AVDA. MENENDEZ PELAYO, 28, CP: 39600, MURIEDAS, CANTABRIA;;13/04/1981;
589;PRIMERA;ALIANZA FRANCESA DE SANTANDER;PASAJE DE PEÑA, Nº 2, CP: 39008, SANTANDER, CANTABRIA;;26/05/1981;
590;PRIMERA;SOCIEDAD CULTURAL, DEPORTIVA, RECREATIVA Y GASTRONOMICA PEÑA EL TARUMBO;AVDA. LA CONDESA FORJAS DE BUELNA S/N, CP: 39400, LOS CORRALES DE BUELNA, CANTABRIA;;26/09/2006;
594;PRIMERA;CORO SANTA MARIA DE SOLVAY; AVENIDA DE SOLVAY S/N (APDO. 201), CP: 39300, TORRELAVEGA, CANTABRIA;125;11/06/1981;
597;PRIMERA;CORO RONDA GARCILASO;C/ SERAFIN ESCALANTE, Nº 2, CP: 39300, TORRELAVEGA, CANTABRIA;;03/06/1981;
606;PRIMERA;CANTABRA DE DIABETICOS;URBANIZACION FEYGON. PLAZA DE RUBEN DARIO, S/N - EDF. E, CP: 39005, SANTANDER, CANTABRIA;;30/07/1981;
608;PRIMERA;CULTURA VIVA DE CANTABRIA;C/ CANALEJAS, Nº 41 - BAJO, CP: 39004, SANTANDER, CANTABRIA;;31/07/1981;
609;PRIMERA;CENTRO INTERNACIONAL DE RELACIONES Y EXPRESION;C/ LUIS GOMEZ, Nº 10, CP: 39600, MURIEDAS, CANTABRIA;122;30/07/1981;
616;PRIMERA;ARTESANO CULTURAL DE LA TERCERA EDAD DE LIEBANA;C/ INDEPENDENCIA, S/N, CP: 39570, POTES, CANTABRIA;;;
618;PRIMERA;PEÑA BANDA DE CARTON;C/ JUAN DE LA COSA Nº 5, BAJO, CP: 39740, SANTOÑA, CANTABRIA;;17/08/1981;
619;PRIMERA;RECREATIVO CULTURAL EL PORVENIR;C/ REAL, S/N, CP: 39231, ARENILLAS DE EBRO, CANTABRIA;111;26/08/1981;
624;PRIMERA;CENTRO DE ESTUDIOS MONTAÑESES;C/ GOMEZ OREÑA, Nº 5 - 3º, CP: 39003, SANTANDER, CANTABRIA;128;24/09/1981;
629;PRIMERA;DE ANTIGUOS ALUMNOS SALESIANOS DE SANTANDER;C/ VISTA ALEGRE, Nº 49, CP: 39001, SANTANDER, CANTABRIA;;04/11/1981;
631;PRIMERA;CANTABRA PARA LA ATENCION DE PERSONAS AFECTADAS POR PARALISIS CEREBRAL, DAÑO CEREBRAL Y POR OTROS SINDROMES DE SIMILAR ETIOLOGIA Y/O EVOLUCION (ASPACE CANTABRIA);AVDA. CARDENAL HERRERA ORIA Nº 102, CP: 39011, SANTANDER, CANTABRIA;;01/12/1981;
632;PRIMERA;CLUB CANTABRO DE CAMPISMO;C/ CORO RONDA GARCILASO, Nº 16 - BAJO, CP: 39300, TORRELAVEGA, CANTABRIA;;02/12/1981;
633;PRIMERA;SOCIEDAD CANINA MONTAÑESA;AVENIDA PRIMERO DE MAYO Nº 64, ZOCO GRAN SANTANDER LOCAL 216-217, CP: 39011, PEÑACASTILLO, SANTANDER, CANTABRIA;412;03/12/1981;
638;PRIMERA;PEÑA CULTURAL Y RECREATIVA EL TROPEZON;CENTRO CULTURAL. PASEO FERNANDEZ VALLEJO, S/N, CP: 39316, TANOS, CANTABRIA;;20/01/1982;
640;PRIMERA;CORAL DE LOS CORRALES DE BUELNA;CASA DE CULTURA, CP: 39400, LOS CORRALES DE BUELNA, CANTABRIA;;08/02/1982;
643;PRIMERA;DE HERMANAMIENTOS DE TORRELAVEGA;AVDA. DE ESPAÑA, Nº 10 (ANTIGUO ANEXO EL CARMEN), CP: 39300, TORRELAVEGA, CANTABRIA;;19/02/1982;
644;PRIMERA;CULTURAL CORAL POLIFONICA PORTUS VICTORIAE;C/ LA VERDE, Nº 21 - BAJO, CP: 39740, SANTOÑA, CANTABRIA;;15/03/1982;
653;PRIMERA;PEÑA CULTURAL SAN ANDRES;C/ PROLONGACION SAN JUAN S/N, CP: 39700, CASTRO URDIALES, CANTABRIA;;01/04/1982;
654;PRIMERA;DE VECINOS LAS PRESAS;AVDA. SANTANDER, Nº 68 - HERRERA, CP: 39608, HERRERA DE CAMARGO, CANTABRIA;;01/04/1982;
658;PRIMERA;PEÑA CULTURAL LOS PERAS;ANTIGUO EDIFICIO ESCUELA DE NIÑAS,, CP: 39706, ONTON, CANTABRIA;;13/04/1982;
663;PRIMERA;CORO RONDA BESAYA;C/ JUAN XXIII, Nº 15 - 4º, CP: 39300, TORRELAVEGA, CANTABRIA;;07/05/1982;
665;PRIMERA;COMARCAL DE SORDOS DE LAREDO;C/ COMANDANTE VILLA 87, CP: 39770, LAREDO, CANTABRIA;;12/05/1892;
670;PRIMERA;CORO RONDA ALTAMIRA;CENTRO CULTURAL SALVADOR JADO. PASEO DEL GENERAL DAVILA, Nº 39, CP: 39006, SANTANDER, CANTABRIA;;25/05/1982;
671;PRIMERA;AMIGOS DE LA CULTURA CIENTIFICA;URBANIZACION PUESTA DEL SOL Nº 10-3, CP: 39130, PEDREÑA, CANTABRIA;;25/05/1982;
